"","duration","sdate","sstation","edate","estation","bikeno","client"
"136507","0h 15m 58s",2014-10-14 19:18:00,"20th St & Virginia Ave NW",2014-10-14 19:34:00,"Adams Mill & Columbia Rd NW","W20307","Registered"
"551207","0h 4m 50s",2014-12-10 16:21:00,"Connecticut Ave & Newark St NW / Cleveland Park",2014-12-10 16:26:00,"Calvert St & Woodley Pl NW","W00408","Registered"
"4744","0h 8m 47s",2014-10-01 15:46:00,"8th & D St NW",2014-10-01 15:55:00,"North Capitol St & F St NW","W01482","Registered"
"517694","0h 15m 58s",2014-12-04 08:19:00,"6th & Water St SW / SW Waterfront",2014-12-04 08:35:00,"20th & E St NW","W20933","Registered"
"210074","0h 8m 36s",2014-10-23 09:46:00,"Massachusetts Ave & Dupont Circle NW",2014-10-23 09:55:00,"Wisconsin Ave & O St NW","W01409","Registered"
"55781","0h 19m 18s",2014-10-06 08:26:00,"Georgia Ave and Fairmont St NW",2014-10-06 08:46:00,"US Dept of State / Virginia Ave & 21st St NW","W20712","Registered"
"537666","0h 4m 16s",2014-12-07 20:35:00,"39th & Veazey St NW",2014-12-07 20:39:00,"Van Ness Metro / UDC","W20552","Registered"
"39285","1h 0m 57s",2014-10-04 15:09:00,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",2014-10-04 16:10:00,"8th & H St NW","W21620","Casual"
"592349","0h 7m 50s",2014-12-17 06:52:00,"8th & F St NE",2014-12-17 07:00:00,"Columbus Circle / Union Station","W20513","Registered"
"279401","0h 2m 52s",2014-10-29 18:48:00,"15th & East Capitol St NE",2014-10-29 18:51:00,"19th & East Capitol St SE","W20403","Registered"
"13592","0h 3m 10s",2014-10-02 09:37:00,"Connecticut Ave & Tilden St NW",2014-10-02 09:40:00,"Van Ness Metro / UDC","W01356","Registered"
"21011","0h 28m 10s",2014-10-02 20:10:00,"New Hampshire Ave & 24th St NW",2014-10-02 20:39:00,"4th & East Capitol St NE","W20401","Registered"
"524381","0h 13m 48s",2014-12-05 07:34:00,"Park Rd & Holmead Pl NW",2014-12-05 07:47:00,"17th & K St NW / Farragut Square","W01453","Registered"
"78334","0h 7m 53s",2014-10-08 12:12:00,"4th & D St NW / Judiciary Square",2014-10-08 12:20:00,"1st & H St NW","W00254","Registered"
"77497","0h 2m 34s",2014-10-08 09:52:00,"Fairfax Dr & Kenmore St",2014-10-08 09:55:00,"Virginia Square Metro / N Monroe St & 9th St N","W01124","Registered"
"202799","0h 7m 30s",2014-10-21 20:57:00,"New York Ave & 15th St NW",2014-10-21 21:05:00,"21st & M St NW","W21675","Registered"
"399178","0h 3m 35s",2014-11-12 17:13:00,"7th & T St NW",2014-11-12 17:16:00,"3rd & Elm St NW","W00253","Registered"
"635144","0h 4m 47s",2014-12-27 17:15:00,"20th St & Florida Ave NW",2014-12-27 17:20:00,"14th & V St NW","W20807","Registered"
"509596","0h 15m 36s",2014-12-02 23:47:00,"10th & U St NW",2014-12-03 00:03:00,"25th St & Pennsylvania Ave NW","W01284","Registered"
"625234","0h 4m 46s",2014-12-23 17:59:00,"5th St & Massachusetts Ave NW",2014-12-23 18:04:00,"Metro Center / 12th & G St NW","W20554","Registered"
"633036","0h 8m 45s",2014-12-27 12:45:00,"20th St & Florida Ave NW",2014-12-27 12:54:00,"22nd & I St NW / Foggy Bottom","W21868","Registered"
"81942","0h 10m 45s",2014-10-08 17:44:00,"17th & G St NW",2014-10-08 17:55:00,"14th & Rhode Island Ave NW","W20342","Registered"
"175849","0h 1m 50s",2014-10-18 18:29:00,"17th & Corcoran St NW",2014-10-18 18:30:00,"17th St & Massachusetts Ave NW","W20420","Registered"
"11853","0h 7m 25s",2014-10-02 07:53:00,"13th & D St NE",2014-10-02 08:01:00,"Columbus Circle / Union Station","W20435","Registered"
"86330","0h 4m 8s",2014-10-09 07:11:00,"14th & G St NW",2014-10-09 07:15:00,"8th & H St NW","W00912","Registered"
"173678","0h 10m 28s",2014-10-18 15:52:00,"Massachusetts Ave & Dupont Circle NW",2014-10-18 16:03:00,"14th & V St NW","W20700","Registered"
"304927","0h 4m 55s",2014-11-01 15:47:00,"12th & U St NW",2014-11-01 15:52:00,"14th & Rhode Island Ave NW","W01145","Registered"
"102264","0h 4m 25s",2014-10-10 16:30:00,"15th & P St NW",2014-10-10 16:35:00,"Massachusetts Ave & Dupont Circle NW","W20373","Registered"
"495033","0h 19m 49s",2014-11-29 19:42:00,"21st St & Constitution Ave NW",2014-11-29 20:01:00,"14th & V St NW","W01189","Casual"
"266222","0h 18m 18s",2014-10-28 16:13:00,"John McCormack Dr & Michigan Ave NE",2014-10-28 16:31:00,"3rd & H St NE","W01099","Registered"
"468669","0h 1m 6s",2014-11-24 07:00:00,"Columbus Circle / Union Station",2014-11-24 07:01:00,"Columbus Circle / Union Station","W00245","Registered"
"77414","0h 15m 43s",2014-10-08 09:40:00,"Iwo Jima Memorial/N Meade & 14th St N",2014-10-08 09:55:00,"Wisconsin Ave & O St NW","W21229","Registered"
"60328","0h 7m 53s",2014-10-06 17:03:00,"20th St & Florida Ave NW",2014-10-06 17:11:00,"17th & K St NW / Farragut Square","W21696","Registered"
"250632","0h 6m 20s",2014-10-27 07:58:00,"5th St & Massachusetts Ave NW",2014-10-27 08:04:00,"New York Ave & 15th St NW","W00484","Registered"
"172352","0h 12m 48s",2014-10-18 14:35:00,"20th & Crystal Dr",2014-10-18 14:48:00,"S Glebe & Potomac Ave","W21313","Registered"
"116789","0h 9m 29s",2014-10-12 15:25:00,"13th St & New York Ave NW",2014-10-12 15:35:00,"17th & Corcoran St NW","W21454","Registered"
"475914","0h 25m 40s",2014-11-24 19:02:00,"New Hampshire Ave & T St NW",2014-11-24 19:28:00,"9th & Upshur St NW","W21250","Registered"
"323824","0h 19m 19s",2014-11-04 08:43:00,"North Capitol St & G Pl NE",2014-11-04 09:02:00,"17th & Corcoran St NW","W21052","Registered"
"307606","0h 8m 51s",2014-11-02 01:29:00,"10th & E St NW",2014-11-02 01:38:00,"Columbus Circle / Union Station","W20806","Registered"
"275351","0h 5m 49s",2014-10-29 11:09:00,"19th & E Street NW",2014-10-29 11:15:00,"14th & G St NW","W20314","Registered"
"602708","0h 9m 7s",2014-12-18 14:40:00,"4th & E St SW",2014-12-18 14:49:00,"Columbus Circle / Union Station","W01348","Registered"
"626837","0h 8m 59s",2014-12-24 16:36:00,"1st & K St SE",2014-12-24 16:45:00,"8th & D St NW","W20230","Registered"
"244029","0h 14m 25s",2014-10-26 13:45:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",2014-10-26 14:00:00,"Pennsylvania & Minnesota Ave SE","W21342","Registered"
"642848","0h 24m 23s",2014-12-29 17:42:00,"8th & Eye St SE / Barracks Row",2014-12-29 18:06:00,"Maryland & Independence Ave SW","W00901","Casual"
"405378","0h 9m 7s",2014-11-13 10:36:00,"3rd & H St NE",2014-11-13 10:46:00,"Eastern Market / 7th & North Carolina Ave SE","W00580","Registered"
"494740","0h 8m 48s",2014-11-29 18:24:00,"Lamont & Mt Pleasant NW",2014-11-29 18:33:00,"Massachusetts Ave & Dupont Circle NW","W00966","Registered"
"365217","0h 3m 16s",2014-11-09 08:07:00,"Massachusetts Ave & Dupont Circle NW",2014-11-09 08:10:00,"New Hampshire Ave & T St NW","W20504","Registered"
"545483","0h 4m 18s",2014-12-09 17:14:00,"19th & East Capitol St SE",2014-12-09 17:19:00,"15th & F St NE","W00643","Registered"
"371627","0h 2m 44s",2014-11-09 18:49:00,"8th & F St NE",2014-11-09 18:52:00,"Columbus Circle / Union Station","W00319","Registered"
"593518","0h 27m 56s",2014-12-17 08:31:00,"Smithsonian / Jefferson Dr & 12th St SW",2014-12-17 08:59:00,"1st & M St NE","W00507","Registered"
"258213","0h 8m 3s",2014-10-27 18:51:00,"17th & Corcoran St NW",2014-10-27 18:59:00,"14th & Harvard St NW","W21280","Registered"
"30949","0h 5m 4s",2014-10-03 17:55:00,"Massachusetts Ave & Dupont Circle NW",2014-10-03 18:00:00,"24th & N St NW","W20532","Registered"
"363358","0h 28m 55s",2014-11-08 18:37:00,"Columbia Rd & Belmont St NW",2014-11-08 19:06:00,"New Hampshire Ave & T St NW","W21364","Registered"
"441113","0h 13m 2s",2014-11-19 17:15:00,"21st St & Pennsylvania Ave NW",2014-11-19 17:28:00,"5th St & Massachusetts Ave NW","w00765","Registered"
"512707","0h 17m 31s",2014-12-03 15:11:00,"12th & U St NW",2014-12-03 15:29:00,"14th & G St NW","W21322","Casual"
"213040","1h 32m 8s",2014-10-23 17:00:00,"North Capitol St & F St NW",2014-10-23 18:33:00,"North Capitol St & F St NW","W00552","Casual"
"601224","0h 8m 51s",2014-12-18 09:05:00,"20th St & Florida Ave NW",2014-12-18 09:14:00,"25th St & Pennsylvania Ave NW","W00075","Registered"
"180761","0h 6m 11s",2014-10-19 12:49:00,"17th & Corcoran St NW",2014-10-19 12:56:00,"10th & U St NW","W20350","Registered"
"544857","0h 3m 43s",2014-12-09 12:36:00,"4th & M St SW",2014-12-09 12:39:00,"4th & E St SW","W00725","Registered"
"388044","0h 3m 9s",2014-11-11 16:06:00,"14th & V St NW",2014-11-11 16:09:00,"New Hampshire Ave & T St NW","W00947","Registered"
"142088","0h 5m 38s",2014-10-15 13:43:00,"20th & L St NW",2014-10-15 13:48:00,"17th St & Massachusetts Ave NW","W01453","Registered"
"41124","0h 12m 33s",2014-10-04 16:55:00,"5th & K St NW",2014-10-04 17:08:00,"Massachusetts Ave & Dupont Circle NW","W21334","Registered"
"525154","0h 4m 22s",2014-12-05 08:40:00,"11th & M St NW",2014-12-05 08:44:00,"13th St & New York Ave NW","W21055","Registered"
"137259","0h 7m 41s",2014-10-14 20:23:00,"11th & K St NW",2014-10-14 20:30:00,"14th & R St NW","W00874","Registered"
"45519","0h 3m 29s",2014-10-05 10:02:00,"New Hampshire Ave & T St NW",2014-10-05 10:06:00,"Massachusetts Ave & Dupont Circle NW","W21672","Registered"
"246401","0h 5m 22s",2014-10-26 16:19:00,"Adams Mill & Columbia Rd NW",2014-10-26 16:25:00,"Lamont & Mt Pleasant NW","W00927","Registered"
"235617","0h 7m 30s",2014-10-25 16:40:00,"Pershing & N George Mason Dr",2014-10-25 16:47:00,"Ballston Metro / N Stuart & 9th St N","W20090","Registered"
"428027","0h 9m 12s",2014-11-17 07:45:00,"14th & V St NW",2014-11-17 07:54:00,"New York Ave & 15th St NW","W00580","Registered"
"333305","0h 3m 45s",2014-11-05 08:16:00,"Georgia & New Hampshire Ave NW",2014-11-05 08:19:00,"Columbia Rd & Georgia Ave NW","W21566","Registered"
"556579","0h 3m 29s",2014-12-11 11:35:00,"10th St & Constitution Ave NW",2014-12-11 11:39:00,"Metro Center / 12th & G St NW","W00134","Registered"
"152100","0h 3m 27s",2014-10-16 18:30:00,"Columbus Circle / Union Station",2014-10-16 18:34:00,"8th & F St NE","W00028","Registered"
"76455","0h 3m 1s",2014-10-08 08:29:00,"19th & L St NW",2014-10-08 08:32:00,"21st & I St NW","W01328","Registered"
"482186","0h 14m 40s",2014-11-25 15:49:00,"US Dept of State / Virginia Ave & 21st St NW",2014-11-25 16:04:00,"L'Enfant Plaza / 7th & C St SW","W00508","Registered"
"430943","0h 1m 56s",2014-11-17 19:35:00,"Potomac & Pennsylvania Ave SE",2014-11-17 19:37:00,"14th & D St SE","W21024","Registered"
"77180","0h 6m 40s",2014-10-08 09:12:00,"5th & F St NW",2014-10-08 09:19:00,"5th & F St NW","W21610","Registered"
"305736","0h 35m 6s",2014-11-01 17:26:00,"18th & Eads St.",2014-11-01 18:01:00,"M St & New Jersey Ave SE","W00594","Registered"
"120395","0h 4m 56s",2014-10-12 22:14:00,"Massachusetts Ave & Dupont Circle NW",2014-10-12 22:19:00,"25th St & Pennsylvania Ave NW","W01343","Registered"
"615293","0h 3m 4s",2014-12-20 20:20:00,"M St & Delaware Ave NE",2014-12-20 20:23:00,"Gallaudet / 8th St & Florida Ave NE","W01144","Registered"
"17547","0h 21m 48s",2014-10-02 17:13:00,"Jefferson Memorial",2014-10-02 17:34:00,"8th & Eye St SE / Barracks Row","W21394","Registered"
"383566","0h 9m 29s",2014-11-11 09:00:00,"11th & Kenyon St NW",2014-11-11 09:10:00,"15th & P St NW","W20773","Registered"
"622906","0h 22m 30s",2014-12-23 08:43:00,"39th & Calvert St NW / Stoddert",2014-12-23 09:05:00,"14th St & New York Ave NW","W20505","Registered"
"223957","0h 3m 37s",2014-10-24 17:00:00,"3rd & D St SE",2014-10-24 17:03:00,"1st & K St SE","W21328","Registered"
"276048","0h 8m 10s",2014-10-29 12:54:00,"Fenton St & New York Ave ",2014-10-29 13:02:00,"Fenton St & Ellsworth Dr ","W20851","Registered"
"108368","0h 19m 52s",2014-10-11 16:25:00,"21st St & Constitution Ave NW",2014-10-11 16:45:00,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00338","Casual"
"427402","0h 6m 50s",2014-11-16 21:08:00,"7th & R St NW / Shaw Library",2014-11-16 21:15:00,"15th & L St NW","W21352","Registered"
"81458","0h 10m 58s",2014-10-08 17:25:00,"4th & D St NW / Judiciary Square",2014-10-08 17:36:00,"Independence Ave & L'Enfant Plaza SW/DOE","W20652","Registered"
"600042","0h 8m 28s",2014-12-18 07:39:00,"Maryland & Independence Ave SW",2014-12-18 07:47:00,"14th & D St NW / Ronald Reagan Building","W21852","Registered"
"7091","0h 7m 10s",2014-10-01 17:58:00,"New York Ave & 15th St NW",2014-10-01 18:05:00,"18th St & Pennsylvania Ave NW","W20950","Registered"
"218754","0h 14m 37s",2014-10-24 08:20:00,"1st & M St NE",2014-10-24 08:35:00,"14th & G St NW","W01404","Registered"
"584933","0h 8m 58s",2014-12-15 19:19:00,"11th & Kenyon St NW",2014-12-15 19:28:00,"Harvard St & Adams Mill Rd NW","W20153","Registered"
"344609","0h 16m 24s",2014-11-06 16:03:00,"M St & New Jersey Ave SE",2014-11-06 16:19:00,"3rd & H St NE","W00944","Registered"
"252213","0h 4m 28s",2014-10-27 09:53:00,"Thomas Circle",2014-10-27 09:58:00,"Massachusetts Ave & Dupont Circle NW","W20961","Registered"
"537273","0h 20m 28s",2014-12-07 18:41:00,"Wisconsin Ave & O St NW",2014-12-07 19:02:00,"39th & Calvert St NW / Stoddert","W21572","Registered"
"373674","0h 21m 21s",2014-11-10 07:58:00,"Lincoln Park / 13th & East Capitol St NE ",2014-11-10 08:19:00,"17th & G St NW","W21536","Registered"
"436212","0h 4m 52s",2014-11-18 18:26:00,"14th & D St SE",2014-11-18 18:31:00,"15th & East Capitol St NE","W20421","Registered"
"506899","0h 10m 15s",2014-12-01 23:20:00,"12th & Newton St NE",2014-12-01 23:30:00,"M St & Delaware Ave NE","W00094","Registered"
"395813","0h 3m 12s",2014-11-12 09:25:00,"11th & F St NW",2014-11-12 09:28:00,"11th & K St NW","W01146","Registered"
"400045","0h 15m 3s",2014-11-12 17:58:00,"23rd & E St NW ",2014-11-12 18:14:00,"M St & Pennsylvania Ave NW","W21181","Registered"
"254099","0h 15m 53s",2014-10-27 14:13:00,"Washington & Independence Ave SW/HHS",2014-10-27 14:29:00,"Jefferson Dr & 14th St SW","W21100","Casual"
"564224","0h 31m 38s",2014-12-12 15:25:00,"Constitution Ave & 2nd St NW/DOL",2014-12-12 15:57:00,"Lincoln Memorial","W01228","Casual"
"399886","0h 11m 45s",2014-11-12 17:49:00,"1st & M St NE",2014-11-12 18:01:00,"7th & T St NW","W21429","Registered"
"183163","0h 5m 2s",2014-10-19 16:11:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",2014-10-19 16:16:00,"D St & Maryland Ave NE","W20573","Registered"
"462498","0h 7m 13s",2014-11-22 22:03:00,"20th St & Florida Ave NW",2014-11-22 22:10:00,"15th & P St NW","W20424","Registered"
"2952","0h 10m 50s",2014-10-01 11:25:00,"New Hampshire Ave & T St NW",2014-10-01 11:36:00,"17th & K St NW / Farragut Square","W01483","Registered"
"326048","0h 26m 32s",2014-11-04 13:52:00,"Smithsonian / Jefferson Dr & 12th St SW",2014-11-04 14:18:00,"18th & M St NW","W20802","Casual"
"47890","0h 26m 29s",2014-10-05 13:04:00,"Lincoln Park / 13th & East Capitol St NE ",2014-10-05 13:31:00,"Potomac Ave & 8th St SE","W21579","Registered"
"45093","0h 11m 18s",2014-10-05 08:51:00,"8th & East Capitol St NE",2014-10-05 09:02:00,"M St & Delaware Ave NE","W00043","Casual"
"228604","0h 23m 34s",2014-10-25 08:43:00,"34th & Water St NW",2014-10-25 09:07:00,"34th & Water St NW","W20506","Registered"
"466348","0h 24m 20s",2014-11-23 15:40:00,"20th St & Florida Ave NW",2014-11-23 16:05:00,"20th St & Florida Ave NW","W21640","Registered"
"583333","0h 7m 34s",2014-12-15 17:19:00,"18th St & Wyoming Ave NW",2014-12-15 17:26:00,"14th & V St NW","W01002","Registered"
"204069","0h 30m 8s",2014-10-22 15:01:00,"D St & Maryland Ave NE",2014-10-22 15:31:00,"Adams Mill & Columbia Rd NW","W20629","Casual"
"106487","0h 6m 52s",2014-10-11 12:29:00,"Massachusetts Ave & Dupont Circle NW",2014-10-11 12:35:00,"18th & M St NW","W00814","Registered"
"269105","0h 11m 43s",2014-10-28 18:34:00,"Columbus Circle / Union Station",2014-10-28 18:45:00,"Bladensburg Rd & Benning Rd NE","W00123","Registered"
"318078","0h 8m 34s",2014-11-03 16:48:00,"14th & D St NW / Ronald Reagan Building",2014-11-03 16:56:00,"Constitution Ave & 2nd St NW/DOL","W20150","Registered"
"423367","0h 6m 32s",2014-11-16 08:58:00,"1st & Rhode Island Ave NW",2014-11-16 09:04:00,"North Capitol St & F St NW","W01300","Registered"
"70774","0h 6m 25s",2014-10-07 17:05:00,"20th St & Virginia Ave NW",2014-10-07 17:12:00,"14th & G St NW","W21548","Registered"
"458641","0h 15m 0s",2014-11-22 12:05:00,"20th St & Florida Ave NW",2014-11-22 12:20:00,"7th & T St NW","W00015","Casual"
"296717","0h 0m 2s",2014-10-31 15:18:00,"8th & F St NE",2014-10-31 15:19:00,"8th & F St NE","W01199","Registered"
"528810","0h 18m 23s",2014-12-05 18:57:00,"Columbia Rd & Georgia Ave NW",2014-12-05 19:15:00,"11th & F St NW","W00714","Registered"
"161440","0h 10m 43s",2014-10-17 16:15:00,"Columbus Circle / Union Station",2014-10-17 16:26:00,"5th & F St NW","W00991","Registered"
"220740","0h 12m 40s",2014-10-24 11:45:00,"7th & R St NW / Shaw Library",2014-10-24 11:58:00,"Massachusetts Ave & Dupont Circle NW","W01465","Registered"
"25798","0h 17m 25s",2014-10-03 10:20:00,"Thomas Circle",2014-10-03 10:38:00,"M St & Delaware Ave NE","W21530","Registered"
"73444","0h 11m 3s",2014-10-07 19:24:00,"Massachusetts Ave & Dupont Circle NW",2014-10-07 19:35:00,"16th & Harvard St NW","W00698","Registered"
"247900","0h 2m 0s",2014-10-26 18:12:00,"22nd & Eads St",2014-10-26 18:14:00,"Crystal City Metro / 18th & Bell St","W20622","Registered"
"385064","2h 22m 59s",2014-11-11 11:55:00,"14th & G St NW",2014-11-11 14:18:00,"21st & M St NW","W21394","Casual"
"277682","0h 7m 15s",2014-10-29 17:15:00,"Massachusetts Ave & Dupont Circle NW",2014-10-29 17:22:00,"15th & L St NW","W20993","Registered"
"611618","0h 14m 26s",2014-12-19 22:19:00,"1st & M St NE",2014-12-19 22:33:00,"4th & M St SW","W01078","Registered"
"153593","0h 3m 6s",2014-10-16 20:37:00,"14th St & Spring Rd NW",2014-10-16 20:40:00,"Georgia & New Hampshire Ave NW","W20060","Registered"
"229613","0h 3m 12s",2014-10-25 10:40:00,"8th & East Capitol St NE",2014-10-25 10:44:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W21438","Registered"
"527071","0h 9m 58s",2014-12-05 14:49:00,"12th & U St NW",2014-12-05 14:59:00,"17th & Rhode Island Ave NW","W00844","Registered"
"418329","0h 12m 55s",2014-11-15 11:37:00,"Jefferson Memorial",2014-11-15 11:50:00,"Maryland & Independence Ave SW","W01484","Registered"
"58102","0h 22m 38s",2014-10-06 13:22:00,"Jefferson Memorial",2014-10-06 13:45:00,"C & O Canal & Wisconsin Ave NW","W21560","Casual"
"463598","0h 4m 50s",2014-11-23 10:35:00,"15th St & Massachusetts Ave SE",2014-11-23 10:40:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20787","Registered"
"62040","0h 19m 24s",2014-10-06 18:13:00,"21st St & Pennsylvania Ave NW",2014-10-06 18:32:00,"8th & H St NW","W01031","Registered"
"646927","0h 8m 6s",2014-12-30 14:41:00,"Florida Ave & R St NW",2014-12-30 14:49:00,"1st & M St NE","W20759","Registered"
"142533","0h 12m 41s",2014-10-15 17:20:00,"8th & H St NW",2014-10-15 17:32:00,"4th & M St SW","W01365","Registered"
"313928","0h 13m 46s",2014-11-03 07:45:00,"15th & P St NW",2014-11-03 07:59:00,"1st & M St NE","W21227","Registered"
"107552","0h 6m 35s",2014-10-11 15:03:00,"15th & P St NW",2014-10-11 15:10:00,"New Hampshire Ave & T St NW","W00295","Registered"
"528547","0h 12m 4s",2014-12-05 18:27:00,"Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir",2014-12-05 18:39:00,"Tenleytown / Wisconsin Ave & Albemarle St NW","W00194","Registered"
"445465","0h 20m 50s",2014-11-20 09:35:00,"New Hampshire Ave & T St NW",2014-11-20 09:56:00,"USDA / 12th & Independence Ave SW","W00619","Registered"
"440481","0h 17m 9s",2014-11-19 15:44:00,"14th & D St NW / Ronald Reagan Building",2014-11-19 16:02:00,"6th & H St NE","W20876","Registered"
"612114","0h 17m 24s",2014-12-20 09:01:00,"14th St & Colorado Ave NW",2014-12-20 09:18:00,"15th & P St NW","W20016","Registered"
"505639","0h 3m 36s",2014-12-01 17:35:00,"Convention Center / 7th & M St NW",2014-12-01 17:39:00,"Thomas Circle","W20945","Registered"
"408502","0h 14m 34s",2014-11-13 18:17:00,"18th & M St NW",2014-11-13 18:32:00,"8th & F St NW / National Portrait Gallery","W21864","Registered"
"628356","0h 10m 22s",2014-12-25 15:47:00,"Maryland & Independence Ave SW",2014-12-25 15:57:00,"Eastern Market / 7th & North Carolina Ave SE","W20665","Registered"
"648041","0h 6m 40s",2014-12-30 17:20:00,"7th & F St NW / National Portrait Gallery",2014-12-30 17:27:00,"5th & K St NW","W00559","Registered"
"122021","0h 54m 0s",2014-10-13 09:51:00,"4th & M St SW",2014-10-13 10:45:00,"21st & M St NW","W00122","Casual"
"92061","0h 2m 25s",2014-10-09 16:43:00,"Adams Mill & Columbia Rd NW",2014-10-09 16:45:00,"Calvert St & Woodley Pl NW","W00661","Registered"
"286865","0h 18m 55s",2014-10-30 16:20:00,"Georgetown Harbor / 30th St NW",2014-10-30 16:39:00,"Jefferson Dr & 14th St SW","W01287","Registered"
"566773","0h 3m 3s",2014-12-12 20:44:00,"Columbus Circle / Union Station",2014-12-12 20:47:00,"8th & F St NE","W21271","Registered"
"579317","0h 6m 48s",2014-12-15 08:06:00,"Jefferson Memorial",2014-12-15 08:13:00,"USDA / 12th & Independence Ave SW","W00186","Registered"
"349456","0h 19m 0s",2014-11-07 08:05:00,"Connecticut Ave & Newark St NW / Cleveland Park",2014-11-07 08:24:00,"C & O Canal & Wisconsin Ave NW","W20263","Registered"
"166489","0h 5m 53s",2014-10-17 22:54:00,"N Adams St & Lee Hwy",2014-10-17 22:59:00,"Court House Metro / 15th & N Uhle St ","W21666","Registered"
"78205","0h 22m 34s",2014-10-08 11:54:00,"New York Ave & 15th St NW",2014-10-08 12:17:00,"Washington & Independence Ave SW/HHS","W00393","Registered"
"46876","0h 30m 6s",2014-10-05 11:58:00,"Lincoln Memorial",2014-10-05 12:28:00,"Jefferson Memorial","W20256","Casual"
"252944","0h 11m 3s",2014-10-27 11:58:00,"14th & Belmont St NW",2014-10-27 12:09:00,"17th St & Massachusetts Ave NW","W00121","Registered"
"566753","0h 5m 0s",2014-12-12 20:40:00,"Columbus Circle / Union Station",2014-12-12 20:45:00,"D St & Maryland Ave NE","W20810","Registered"
"327823","0h 8m 7s",2014-11-04 17:09:00,"20th St & Virginia Ave NW",2014-11-04 17:18:00,"15th & L St NW","W00430","Registered"
"52010","0h 3m 18s",2014-10-05 17:51:00,"D St & Maryland Ave NE",2014-10-05 17:55:00,"Columbus Circle / Union Station","W00814","Registered"
"564966","0h 16m 7s",2014-12-12 17:03:00,"17th & G St NW",2014-12-12 17:19:00,"M St & Pennsylvania Ave NW","W20685","Casual"
"317636","0h 14m 1s",2014-11-03 16:04:00,"1st & M St NE",2014-11-03 16:18:00,"4th & E St SW","W01428","Registered"
"376570","0h 4m 49s",2014-11-10 13:32:00,"14th & R St NW",2014-11-10 13:37:00,"17th St & Massachusetts Ave NW","W20551","Registered"
"6682","0h 21m 35s",2014-10-01 17:43:00,"22nd & I St NW / Foggy Bottom",2014-10-01 18:05:00,"Park Rd & Holmead Pl NW","W00377","Registered"
"522683","0h 12m 23s",2014-12-04 19:10:00,"19th & K St NW",2014-12-04 19:23:00,"Georgetown Harbor / 30th St NW","W20434","Registered"
"604620","0h 20m 54s",2014-12-18 18:42:00,"5th St & Massachusetts Ave NW",2014-12-18 19:03:00,"19th & L St NW","W01112","Registered"
"574678","1h 2m 29s",2014-12-14 12:37:00,"Georgetown Harbor / 30th St NW",2014-12-14 13:40:00,"10th St & Constitution Ave NW","W01158","Casual"
"29120","0h 8m 32s",2014-10-03 16:09:00,"15th & P St NW",2014-10-03 16:18:00,"15th & Euclid St  NW","W21511","Registered"
"493431","0h 17m 32s",2014-11-29 14:17:00,"Adams Mill & Columbia Rd NW",2014-11-29 14:35:00,"C & O Canal & Wisconsin Ave NW","W21646","Registered"
"565946","0h 11m 19s",2014-12-12 18:24:00,"Glebe Rd & 11th St N",2014-12-12 18:36:00,"TJ Cmty Ctr / 2nd St & S Old Glebe Rd","W20402","Registered"
"544051","0h 12m 46s",2014-12-08 23:37:00,"MLK Library/9th & G St NW",2014-12-08 23:50:00,"New Hampshire Ave & T St NW","W21315","Registered"
"108099","0h 23m 14s",2014-10-11 15:58:00,"King St Metro",2014-10-11 16:21:00,"27th & Crystal Dr","W20713","Casual"
"180271","0h 12m 47s",2014-10-19 12:15:00,"Thomas Circle",2014-10-19 12:27:00,"Constitution Ave & 2nd St NW/DOL","W01419","Registered"
"225011","0h 0m 10s",2014-10-24 17:49:00,"15th & N Scott St",2014-10-24 17:50:00,"15th & N Scott St","W20853","Registered"
"597073","0h 3m 51s",2014-12-17 17:30:00,"Columbus Circle / Union Station",2014-12-17 17:34:00,"8th & F St NE","W01041","Registered"
"294103","0h 3m 6s",2014-10-31 09:45:00,"3rd & H St NW",2014-10-31 09:49:00,"Constitution Ave & 2nd St NW/DOL","W21424","Registered"
"614627","0h 9m 36s",2014-12-20 16:59:00,"Lamont & Mt Pleasant NW",2014-12-20 17:09:00,"California St & Florida Ave NW","W00435","Registered"
"611748","0h 18m 35s",2014-12-19 23:37:00,"Convention Center / 7th & M St NW",2014-12-19 23:56:00,"1st & K St SE","W20128","Registered"
"161640","0h 27m 57s",2014-10-17 16:30:00,"Jefferson Dr & 14th St SW",2014-10-17 16:58:00,"Jefferson Dr & 14th St SW","W20630","Casual"
"501921","0h 7m 12s",2014-12-01 08:26:00,"Court House Metro / 15th & N Uhle St ",2014-12-01 08:33:00,"Lynn & 19th St North","W21172","Registered"
"162008","0h 14m 50s",2014-10-17 16:53:00,"M St & Delaware Ave NE",2014-10-17 17:08:00,"John McCormack Dr & Michigan Ave NE","W21608","Registered"
"44168","0h 5m 31s",2014-10-04 23:17:00,"11th & M St NW",2014-10-04 23:23:00,"10th & U St NW","W00316","Registered"
